ID,cluster,sentence
1,0,"Data analytics teams build data models, clean datasets and create dashboard reporting for business users."
2,0,"Data analysts use SQL, Python and dashboard metrics to validate data quality and explain business trends."
3,0,"Analytics reporting turns raw data into charts, KPIs and insight dashboards for operational decisions."
4,0,"Machine learning projects require clean data, feature engineering, model evaluation and reproducible metrics."
5,0,"Data quality monitoring checks missing values, duplicate records and inconsistent fields in analytics pipelines."
6,0,"Business intelligence dashboards combine data modelling, SQL queries and stakeholder reporting."
7,0,"Predictive analytics models use training data, validation metrics and careful error analysis."
8,0,"Data engineering pipelines extract, transform and load data for reporting dashboards and machine learning."
9,0,"Customer analytics teams segment data, compare model outputs and present insight to managers."
10,0,"Statistical analysis supports data storytelling, performance reporting and evidence based recommendations."
11,3,"Healthcare teams review patient records, clinical notes and treatment plans to improve care."
12,3,"Doctors use clinical tests, patient history and medical imaging to support diagnosis and treatment."
13,3,"Hospital operations track patient admissions, clinical capacity and discharge planning each day."
14,3,"Nurses document patient observations, medication updates and clinical risks during handover."
15,3,"Pharmacists check medication dosage, clinical safety and patient prescription interactions."
16,3,"Patient safety improves when healthcare records, clinical alerts and treatment notes are accurate."
17,3,"Clinical pathways guide treatment decisions, patient monitoring and hospital quality improvement."
18,3,"Public health teams analyse patient trends, clinical outcomes and community prevention advice."
19,3,"Medical imaging reports describe patient findings, clinical uncertainty and recommended follow up."
20,3,"Healthcare data systems organise patient appointments, clinical documentation and care coordination."
21,2,"Renewable energy analysts monitor electricity demand, grid performance and carbon emissions."
22,2,"Energy forecasting predicts electricity demand using weather data, grid history and consumption patterns."
23,2,Smart meters collect energy consumption readings for grid analytics and efficiency reporting.
24,2,"Carbon reporting measures energy emissions from buildings, transport and industrial operations."
25,2,"Solar power, wind generation and battery storage support cleaner renewable energy systems."
26,2,Grid flexibility programmes shift electricity demand and improve energy resilience during peak periods.
27,2,"Weather conditions affect renewable generation, electricity consumption and energy demand forecasting."
28,2,"Sustainability teams track carbon targets, energy efficiency and renewable investment progress."
29,2,"Energy dashboards compare tariffs, grid load, consumption profiles and operational efficiency."
30,2,Battery storage helps balance renewable energy generation and maintain grid stability.
31,1,"Career coaches review CV evidence, portfolio projects and interview examples with applicants."
32,1,"Recruiters shortlist candidates by comparing CV skills, portfolio evidence and interview performance."
33,1,"Interview preparation helps applicants explain portfolio projects, technical skills and business impact."
34,1,"LinkedIn posts share portfolio learning, project tools and career development progress."
35,1,"Hiring managers evaluate CV achievements, project evidence and role motivation during interviews."
36,1,Graduate applicants improve applications by tailoring CV examples and portfolio case studies.
37,1,"Cover letters connect candidate skills, career goals and job requirements for recruiters."
38,1,"Portfolio websites showcase project evidence, GitHub repositories and career strengths."
39,1,"Career planning maps target roles, skill gaps, portfolio improvements and application timelines."
40,1,"Professional networking helps candidates discover career opportunities, internships and recruiter contacts."
